Category,Field,YFinance,MASSIVE,FinViz,StockAnalysis,Alpha Vantage,Priority
Valuation Metrics,ev_to_revenue,Yes,No,No,Yes,,YFinance (1.0)
Valuation Metrics,ev_to_ebitda,Yes,No,Yes,Yes,,YFinance (1.0)
Profitability &amp; Margins,gross_margin,Yes,No,Yes,Yes,,YFinance (1.0)
Profitability &amp; Margins,operating_margin,Yes,No,Yes,Yes,,YFinance (1.0)
Profitability &amp; Margins,profit_margin,Yes,No,Yes,Yes,,YFinance (1.0)
Profitability &amp; Margins,roa,Yes,No,Yes,Yes,,YFinance (1.0)
Profitability &amp; Margins,roe,Yes,No,Yes,Yes,,YFinance (1.0)
Profitability &amp; Margins,roic,No,No,Yes,Yes,,FinViz (1.0)
Balance Sheet &amp; Liquidity,current_ratio,Yes,No,Yes,Yes,,YFinance (1.0)
Balance Sheet &amp; Liquidity,quick_ratio,Yes,No,Yes,Yes,,YFinance (1.0)
Balance Sheet &amp; Liquidity,debt_to_equity,Yes,No,Yes,Yes,,YFinance (1.0)
Balance Sheet &amp; Liquidity,lt_debt_to_equity,No,No,Yes,Yes,,FinViz (1.0)
Balance Sheet &amp; Liquidity,total_debt,Yes,No,No,Yes,,YFinance (1.0)
Balance Sheet &amp; Liquidity,total_cash,Yes,No,No,Yes,,YFinance (1.0)
Balance Sheet &amp; Liquidity,book_value_per_share,Yes,No,Yes,Yes,,YFinance (1.0)
Balance Sheet &amp; Liquidity,cash_per_share,No,No,Yes,No,,FinViz (1.0)
Earnings &amp; Growth,eps_ttm,Yes,No,Yes,Yes,,YFinance (1.0)
Earnings &amp; Growth,eps_forward,Yes,No,Yes,Yes,,YFinance (1.0)
Earnings &amp; Growth,eps_growth_qoq,No,No,Yes,Yes,,FinViz (1.0)
Earnings &amp; Growth,eps_growth_yoy,No,No,Yes,Yes,,FinViz (1.0)
Earnings &amp; Growth,eps_growth_5y,No,No,Yes,Yes,,FinViz (1.0)
Earnings &amp; Growth,revenue_ttm,Yes,No,Yes,Yes,,YFinance (1.0)
Earnings &amp; Growth,revenue_growth_qoq,No,No,Yes,Yes,,FinViz (1.0)
Earnings &amp; Growth,revenue_growth_yoy,Yes,No,Yes,Yes,,YFinance (1.0)
Earnings &amp; Growth,revenue_growth_5y,No,No,Yes,Yes,,FinViz (1.0)
Dividends,dividend_rate,Yes,No,No,Yes,,YFinance (1.0)
Dividends,dividend_yield,Yes,No,Yes,Yes,,YFinance (1.0)
Dividends,payout_ratio,Yes,No,Yes,Yes,,YFinance (1.0)
Dividends,ex_dividend_date,Yes,Yes,Yes,Yes,,YFinance (1.0)
Dividends,dividend_history,Yes (Full),Yes (Full),No,No,,YFinance (1.0)
Technicals,beta,Yes,No,Yes,Yes,,YFinance (1.0)
Technicals,sma_20,No,No,Yes,No,,FinViz (1.0)
Technicals,sma_50,No,No,Yes,No,,FinViz (1.0)
Technicals,sma_200,No,No,Yes,No,,FinViz (1.0)
Technicals,rsi_14,No,No,Yes,No,,FinViz (1.0)
Technicals,atr,No,No,Yes,No,,FinViz (1.0)
Technicals,volatility,No,No,Yes,No,,FinViz (1.0)
Ownership,insider_ownership,Yes,No,Yes,Yes,,YFinance (1.0)
Ownership,institutional_ownership,Yes,No,Yes,Yes,,YFinance (1.0)
Ownership,shares_outstanding,Yes,Yes,Yes,Yes,,YFinance (1.0)
Ownership,shares_float,Yes,No,Yes,Yes,,YFinance (1.0)
Ownership,short_float,No,No,Yes,Yes,,FinViz (1.0)
Ownership,short_ratio,No,No,Yes,Yes,,FinViz (1.0)
Ownership,insider_transactions,No,No,Yes,No,,FinViz (1.0)
Ownership,institutional_transactions,No,No,Yes,No,,FinViz (1.0)
Analyst Data,target_price,Yes,No,Yes,Yes,,YFinance (1.0)
Analyst Data,analyst_recommendation,Yes,No,Yes,Yes,,YFinance (1.0)
Analyst Data,num_analysts,Yes,No,No,Yes,,YFinance (1.0)
Analyst Data,earnings_date,Yes,No,Yes,Yes,,YFinance (1.0)
Performance Windows,perf_week,No,No,Yes,No,,FinViz (1.0)
Performance Windows,perf_month,No,No,Yes,No,,FinViz (1.0)
Performance Windows,perf_quarter,No,No,Yes,No,,FinViz (1.0)
Performance Windows,perf_half_year,No,No,Yes,No,,FinViz (1.0)
Performance Windows,perf_year,No,No,Yes,No,,FinViz (1.0)
Performance Windows,perf_ytd,No,No,Yes,No,,FinViz (1.0)
Financial Statements,Income Statement (Annual),Yes (4yr),No,Yes (8yr),Yes (10yr+),,StockAnalysis (1.0)
Financial Statements,Income Statement (Quarterly),Yes (4qtr),No,Yes (8qtr),Yes (20qtr+),,StockAnalysis (1.0)
Financial Statements,Balance Sheet (Annual),Yes (4yr),No,Yes (8yr),Yes (10yr+),,StockAnalysis (1.0)
Financial Statements,Balance Sheet (Quarterly),Yes (4qtr),No,Yes (8qtr),Yes (20qtr+),,StockAnalysis (1.0)
Financial Statements,Cash Flow (Annual),Yes (4yr),No,Yes (8yr),Yes (10yr+),,StockAnalysis (1.0)
Financial Statements,Cash Flow (Quarterly),Yes (4qtr),No,Yes (8qtr),Yes (20qtr+),,StockAnalysis (1.0)
ETF-Specific,expense_ratio,Yes,,,Yes,Yes,YFinance (1.0)
ETF-Specific,aum,Yes,,,No,Yes,YFinance (1.0)
ETF-Specific,nav,Yes,,,No,Yes,YFinance (1.0)
ETF-Specific,holdings_count,Yes,,,No,Yes,Alpha Vantage (1.0)
ETF-Specific,top_holdings,Yes,,,No,Yes,Alpha Vantage (1.0)
ETF-Specific,sector_weights,Yes,,,No,Yes,Alpha Vantage (1.0)
ETF-Specific,fund_category,No,,,No,Yes,Alpha Vantage (1.0)
ETF-Specific,fund_family,Yes,,,No,Yes,YFinance (1.0)
ETF-Specific,dividend_ttm,Yes,,,No,No,YFinance (1.0)
ETF-Specific,fund_flows,No,,,No,No,FinViz Elite only
